Kommun;Antal;Per 100 000 inv.
Ale;2716;8332
Alingsås;4225;9873
Alvesta;1648;8341
Aneby;529;7752
Arboga;1424;10205
Arjeplog;208;8048
Arvidsjaur;453;7478
Arvika;2028;7960
Askersund;844;7384
Avesta;2443;10910
Bengtsfors;710;7875
Berg;631;8892
Bjurholm;240;10243
Bjuv;2212;13809
Boden;2995;10569
Bollebygd;692;7066
Bollnäs;2496;9552
Borgholm;1256;11798
Borlänge;5846;11376
Borås;13772;11970
Botkyrka;12793;13281
Boxholm;381;6947
Bromölla;1229;9845
Bräcke;716;11948
Burlöv;2847;14044
Båstad;1535;9572
Dals-Ed;339;7388
Danderyd;3543;10914
Degerfors;1305;14097
Dorotea;227;10011
Eda;819;9808
Ekerö;2457;8477
Eksjö;2102;11858
Emmaboda;993;11149
Enköping;5707;11719
Eskilstuna;16035;14987
Eslöv;3640;10393
Essunga;481;8652
Fagersta;1695;13045
Falkenberg;4462;9428
Falköping;3395;10351
Falun;4485;7480
Filipstad;909;9371
Finspång;2028;9405
Flen;1965;12903
Forshaga;548;4774
Färgelanda;631;9965
Gagnef;515;4978
Gislaved;2897;10063
Gnesta;1045;9166
Gnosjö;582;6416
Gotland;6604;10842
Grums;658;7369
Grästorp;423;7583
Gullspång;515;10321
Gällivare;1562;9090
Gävle;13238;12732
Göteborg;84816;13878
Götene;1038;7831
Habo;686;5088
Hagfors;880;7739
Hallsberg;2360;14657
Hallstahammar;1859;11181
Halmstad;13751;12948
Hammarö;804;4740
Haninge;13628;13473
Haparanda;1268;13951
Heby;1359;9497
Hedemora;1616;10665
Helsingborg;23753;15583
Herrljunga;900;9471
Hjo;691;7401
Hofors;803;8719
Huddinge;13554;11838
Hudiksvall;4210;11246
Hultsfred;1565;
